[2024-11-02T06:44:15.270+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T06:44:12.920173+00:00 [queued]>
[2024-11-02T06:44:15.279+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T06:44:12.920173+00:00 [queued]>
[2024-11-02T06:44:15.280+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-11-02T06:44:15.295+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProducerOperator): generate_txn_fact_data> on 2024-11-02 06:44:12.920173+00:00
[2024-11-02T06:44:15.299+0000] {standard_task_runner.py:57} INFO - Started process 381 to run task
[2024-11-02T06:44:15.302+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-11-02T06:44:12.920173+00:00', '--job-id', '1197', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpdjxxhaa1']
[2024-11-02T06:44:15.305+0000] {standard_task_runner.py:85} INFO - Job 1197: Subtask generate_txn_fact_data
[2024-11-02T06:44:15.351+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T06:44:12.920173+00:00 [running]> on host 5e812a6a7c02
[2024-11-02T06:44:15.426+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='minhtranquang' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T06:44:12.920173+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-02T06:44:12.920173+00:00'
[2024-11-02T06:44:15.429+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2024-11-02T06:44:15.429+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-11-02T06:44:15.431+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2024-11-02T06:44:15.533+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-11-02T06:44:15.533+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-11-02T06:44:15.688+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2024-11-02T06:44:15.689+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2024-11-02T06:44:15.690+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.4', 9092)]>: Closing connection. 
[2024-11-02T06:44:15.897+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1724741055536, 'account_id': 'A00060', 'customer_id': 'C00018', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00061', 'transaction_amount': 5512.13, 'exchange_rate': 0.8065}
[2024-11-02T06:44:15.899+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1729233855899, 'account_id': 'A00030', 'customer_id': 'C00042', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 3000.62, 'exchange_rate': 1.1557}
[2024-11-02T06:44:15.901+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1720766655900, 'account_id': 'A00061', 'customer_id': 'C00084', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00029', 'transaction_amount': 2120.4, 'exchange_rate': 1.3261}
[2024-11-02T06:44:15.902+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1702881855902, 'account_id': 'A00094', 'customer_id': 'C00046', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00089', 'transaction_amount': 4120.13, 'exchange_rate': 0.8192}
[2024-11-02T06:44:15.903+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1708670655903, 'account_id': 'A00060', 'customer_id': 'C00065', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00048', 'transaction_amount': 3309.93, 'exchange_rate': 1.02}
[2024-11-02T06:44:15.904+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1713509055904, 'account_id': 'A00039', 'customer_id': 'C00023', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00088', 'transaction_amount': 7264.47, 'exchange_rate': 0.9575}
[2024-11-02T06:44:15.905+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1722062655905, 'account_id': 'A00077', 'customer_id': 'C00060', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00044', 'transaction_amount': 39.26, 'exchange_rate': 1.4534}
[2024-11-02T06:44:15.906+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1705128255906, 'account_id': 'A00076', 'customer_id': 'C00090', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00078', 'transaction_amount': 2058.89, 'exchange_rate': 1.3385}
[2024-11-02T06:44:15.907+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1729752255907, 'account_id': 'A00037', 'customer_id': 'C00017', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00028', 'transaction_amount': 2099.28, 'exchange_rate': 1.453}
[2024-11-02T06:44:15.909+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1729925055909, 'account_id': 'A00072', 'customer_id': 'C00019', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00090', 'transaction_amount': 5231.87, 'exchange_rate': 1.3102}
[2024-11-02T06:44:15.910+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1724913855910, 'account_id': 'A00016', 'customer_id': 'C00055', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00008', 'transaction_amount': 2519.13, 'exchange_rate': 0.7305}
[2024-11-02T06:44:15.911+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000012', 'transaction_date': 1726123455911, 'account_id': 'A00096', 'customer_id': 'C00048', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00074', 'transaction_amount': 835.37, 'exchange_rate': 0.6377}
